ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
sakalavamaintirano-1_all-1,,sakalavamaintirano,1_all,iaby,iaby,i a b j,,Serva2011,,,^ i a b y $,default
betsimisarakamahanoro-1_all-1,,betsimisarakamahanoro,1_all,rehetra,rehetra,r e h e ʈ r a,,Serva2011,,,^ r e h e tr a $,default
antankaranaambilobe-1_all-1,,antankaranaambilobe,1_all,jiaby,jiaby,dz i a b j,,Serva2011,,,^ j i a b y $,default
mikeaanalamena-1_all-1,,mikeaanalamena,1_all,iabe,iabe,i a b e,,Serva2011,,,^ i a b e $,default
antankaranavohemar-1_all-1,,antankaranavohemar,1_all,jiaby,jiaby,dz i a b j,,Serva2011,,,^ j i a b y $,default
masikoromiary-1_all-1,,masikoromiary,1_all,iaby,iaby,i a b j,,Serva2011,,,^ i a b y $,default
antankaranaantalaha-1_all-1,,antankaranaantalaha,1_all,jiaby,jiaby,dz i a b j,,Serva2011,,,^ j i a b y $,default
sakalavaambanja-1_all-1,,sakalavaambanja,1_all,ziaby,ziaby,z i a b j,,Serva2011,,,^ z i a b y $,default
sakalavamajunga-1_all-1,,sakalavamajunga,1_all,jiaby,jiaby,dz i a b j,,Serva2011,,,^ j i a b y $,default
merinaantananarivo-1_all-1,,merinaantananarivo,1_all,rehetra,rehetra,r e h e ʈ r a,,Serva2011,,,^ r e h e tr a $,default
sakalavamorondava-1_all-1,,sakalavamorondava,1_all,iaby,iaby,i a b j,,Serva2011,,,^ i a b y $,default
betsimisarakafenoarivoest-1_all-1,,betsimisarakafenoarivoest,1_all,jiaby,jiaby,dz i a b j,,Serva2011,,,^ j i a b y $,default
antanosytolagnaro-1_all-1,,antanosytolagnaro,1_all,iziaby,iziaby,i z i a b j,,Serva2011,,,^ i z i a b y $,default
antandroyambovombe-1_all-1,,antandroyambovombe,1_all,iaby,iaby,i a b j,,Serva2011,,,^ i a b y $,default
betsileofianarantsoa-1_all-1,,betsileofianarantsoa,1_all,aby,aby,a b j,,Serva2011,,,^ a b y $,default
vezotoliara-1_all-1,,vezotoliara,1_all,iaby,iaby,i a b j,,Serva2011,,,^ i a b y $,default
sihanakaambatondranzaka-1_all-1,,sihanakaambatondranzaka,1_all,izy daholo,izy daholo,i z j + d a h o l o,,Serva2011,,,^ i z y + d a h o l o $,default
tsimihetymandritsara-1_all-1,,tsimihetymandritsara,1_all,jiaby,jiaby,dz i a b j,,Serva2011,,,^ j i a b y $,default
mahafalyampanihy-1_all-1,,mahafalyampanihy,1_all,iaby,iaby,i a b j,,Serva2011,,,^ i a b y $,default
antambohoakamananjary-1_all-1,,antambohoakamananjary,1_all,izy marobe,izy marobe,i z j + m a r o b e,,Serva2011,,,^ i z y + m a r o b e $,default
antaisakavangaindrano-1_all-1,,antaisakavangaindrano,1_all,aby,aby,a b j,,Serva2011,,,^ a b y $,default
antaimoromanakara-1_all-1,,antaimoromanakara,1_all,iaby,iaby,i a b j,,Serva2011,,,^ i a b y $,default
zafisorofarafangana-1_all-1,,zafisorofarafangana,1_all,daholo,daholo,d a h o l o,,Serva2011,,,^ d a h o l o $,default
barabetroka-1_all-1,,barabetroka,1_all,aby,aby,a b j,,Serva2011,,,^ a b y $,default
sakalavamaintirano-2_and-1,,sakalavamaintirano,2_and,sy,sy,s j,,Serva2011,,,^ s y $,default
betsimisarakamahanoro-2_and-1,,betsimisarakamahanoro,2_and,ombanin ny,ombanin ny,o m b a n i n + n j,,Serva2011,,,^ o m b a n i n + n y $,default
antankaranaambilobe-2_and-1,,antankaranaambilobe,2_and,ndraiky,ndraiky,ɳ ɖ r a i k j,,Serva2011,,,^ ndr a i k y $,default
mikeaanalamena-2_and-1,,mikeaanalamena,2_and,miakake,miakake,m i a k a k e,,Serva2011,,,^ m i a k a k e $,default
antankaranavohemar-2_and-1,,antankaranavohemar,2_and,ndraiky,ndraiky,ɳ ɖ r a i k j,,Serva2011,,,^ ndr a i k y $,default
masikoromiary-2_and-1,,masikoromiary,2_and,miaraky,miaraky,m i a r a k j,,Serva2011,,,^ m i a r a k y $,default
antankaranaantalaha-2_and-1,,antankaranaantalaha,2_and,ndraiky,ndraiky,ɳ ɖ r a i k j,,Serva2011,,,^ ndr a i k y $,default
sakalavaambanja-2_and-1,,sakalavaambanja,2_and,ndraiky,ndraiky,ɳ ɖ r a i k j,,Serva2011,,,^ ndr a i k y $,default
sakalavamajunga-2_and-1,,sakalavamajunga,2_and,ndreky,ndreky,ɳ ɖ r e k j,,Serva2011,,,^ ndr e k y $,default
