ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,FileName,Number,Area
SakalavaAmbanja,Sakalava,saka1291,West Malagasy Sakalava,skg,Africa,-13.67,48.33,Austronesian,,01,Ambanja
SihanakaAmbatondrazaka,Sihanaka,siha1244,Sihanaka,,Africa,-17.87,48.42,Austronesian,,02,Ambatondrazaka
AntankaranaAmbilobe,Antankarana,anta1255,Antankarana Malagasy,xmv,Africa,-13.2,49.05,Austronesian,,03,Ambilobe
AntandroyAmbovombe,Antandroy,,,,,-25.17,46.08,,,04,Ambovombe
MahafalyAmpanihy,Mahafaly,maha1309,Mahafaly-Antanalana Malagasy,,Africa,-24.68,44.73,Austronesian,,05,Ampanihy
MikeaAmpoakafo,Mikea,mike1243,Mikea,,Africa,-22.67,43.75,Austronesian,,06,Ampoakafo
BetsimisarakaAntalaha,Betsimisaraka,nort2890,Northern Betsimisaraka Malagasy,bmm,Africa,-14.88,50.27,Austronesian,,07,Antalaha
MerinaAntananarivo,Merina,meri1243,Merina,,Africa,-18.9,47.52,Austronesian,,08,Antananarivo
BaraBetroka,Bara,bara1369,Bara Malagasy,bhr,Africa,-23.28,46.08,Austronesian,,09,Betroka
ZafisoroFarafangana,Zafisoro,zafi1234,Zafisoro,,Africa,-22.8,47.82,Austronesian,,10,Farafangana
BetsimisarakaFenoarivo-Est,Betsimisaraka,,,,,-17.38,49.4,,,11,Fenoarivo-Est
BetsileoFianarantsoa,Betsileo,bets1235,Betsileo,,Africa,-21.43,47.08,Austronesian,,12,Fianarantsoa
BetsimisarakaMahanoro,Betsimisaraka,nort2890,Northern Betsimisaraka Malagasy,bmm,Africa,-19.88,48.8,Austronesian,,13,Mahanoro
SakalavaMaintirano,Sakalava,saka1291,West Malagasy Sakalava,skg,Africa,-18.07,44.02,Austronesian,,14,Maintirano
SakalavaMahajanga,Sakalava,saka1291,West Malagasy Sakalava,skg,Africa,-15.72,46.32,Austronesian,,15,Mahajanga
AntaimoroManakara,Antaimoro,anta1259,Antaimoro,,Africa,-22.1,48,Austronesian,,16,Manakara
AntambohoakaMananjary,Antambohoaka,anta1260,Antambohoaka,,Africa,-21.22,48.33,Austronesian,,17,Mananjary
TsimihetyMandritsara,Tsimihety,tsim1257,Tsimihety Malagasy,xmw,Africa,-15.83,48.82,Austronesian,,18,Mandritsara
MasikoroMiary,Masikoro,masi1268,Masikoro Malagasy,msh,Africa,-23.3,43.72,Austronesian,,19,Miary
SakalavaMorondava,Sakalava,saka1291,West Malagasy Sakalava,skg,Africa,-20.28,44.32,Austronesian,,20,Morondava
