NUMBER	ENGLISH	ITALIAN	FRENCH	MALAGASY	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	I	io	je	izaho	1209	I
2	you (singular)	tu	tu	ianao	1215	THOU
3	he	egli	il	izy	1211	HE
4	we	noi	nous	isika	1212	WE
5	you (plural)	voi	vous	ianareo	1213	YOU
6	they	essi	ils	izy ireo	817	THEY
7	this	questo	ceci	ity	1214	THIS
8	that	quello	cela	izany	78	THAT
9	here	qui	ici	eto	136	HERE
10	there	li	là	ao	1937	THERE
11	who	chi	qui	iza	1235	WHO
12	what	che	que (qu'est-ce que; quoi)	inona	1236	WHAT
13	where	dove	où	aiza	1237	WHERE
14	when	quando	quand	oviana	1238	WHEN
15	how	come	comment	ahoana	1239	HOW
16	not	non	ne pas	tsy	1240	NOT
17	all	tutto	tout	rehetra	98	ALL
18	many	molti	beaucoup	betsaka	1198	MANY
19	some	alcuni	quelques	vitsivitsy	1241	SOME
20	few	poco	peu	kely	1242	FEW
21	other	altro	autre	hafa	197	OTHER
22	one	uno	un	iray	1493	ONE
23	two	due	deux	roa	1498	TWO
24	three	tre	trois	telo	492	THREE
25	four	quattro	quatre	efatra	1500	FOUR
26	five	cinque	cinq	dimy	493	FIVE
27	big	grande	grand	lehibe	1202	BIG
28	long	lungo	long	lava	1203	LONG
29	wide	largo	large	malalaka	1243	WIDE
30	thick	spesso	épais	matevina	1244	THICK
31	heavy	pesante	lourd	mavesatra	1210	HEAVY
32	small	piccolo	petit	kely	1246	SMALL
33	short	corto	court	fohy	1645	SHORT
34	narrow	stretto	étroit	tery	1267	NARROW
35	thin	sottile	fin	manify	743	END (OF TIME)
36	woman	donna	femme	vehivavy	962	WOMAN
37	man (adult male)	uomo	homme (mâle adulte)	lehilahy	1554	MAN
38	man (human being)	uomo	homme (être humain)	olona	683	PERSON
39	child	bambino	enfant	zaza	2099	CHILD
40	wife	moglie	femme (épouse)	vady	1199	WIFE
41	husband	marito	mari	vady	1200	HUSBAND
42	mother	madre	mère	reny	1216	MOTHER
43	father	padre	père	ray	1217	FATHER
44	animal	animale	animal	biby	619	ANIMAL
