Number	ID	FileName
00	MalagasyReference	00-Malagasy.Reference.txt
01	SakalavaAmbanja	01-Sakalava.Ambanja.txt
02	SihanakaAmbatondrazaka	02-Sihanaka.Ambatondrazaka.txt
03	AntankaranaAmbilobe	03-Antankarana.Ambilobe.txt
04	AntandroyAmbovombe	04-Antandroy.Ambovombe.txt
05	MahafalyAmpanihy	05-Mahafaly.Ampanihy.txt
06	MikeaAmpoakafo	06-Mikea.Ampoakafo.txt
07	BetsimisarakaAntalaha	07-Betsimisaraka.Antalaha.txt
08	MerinaAntananarivo	08-Merina.Antananarivo.txt
09	BaraBetroka	09-Bara.Betroka.txt
10	ZafisoroFarafangana	10-Zafisoro.Farafangana.txt
11	BetsimisarakaFenoarivo-Est	11-Betsimisaraka.Fenoarivo-Est.txt
12	BetsileoFianarantsoa	12-Betsileo.Fianarantsoa.txt
13	BetsimisarakaMahanoro	13-Betsimisaraka.Mahanoro.txt
14	SakalavaMaintirano	14-Sakalava.Maintirano.txt
15	SakalavaMahajanga	15-Sakalava.Mahajanga.txt
16	AntaimoroManakara	16-Antaimoro.Manakara.txt
17	AntambohoakaMananjary	17-Antambohoaka.Mananjary.txt
18	TsimihetyMandritsara	18-Tsimihety.Mandritsara.txt
19	MasikoroMiary	19-Masikoro.Miary.txt
20	SakalavaMorondava	20-Sakalava.Morondava.txt
21	AntanosyTolagnaro	21-Antanosy.Tolagnaro.txt
22	VezoToliara	22-Vezo.Toliara.txt
23	AntaisakaVangaindrano	23-Antaisaka.Vangaindrano.txt
24	AntankaranaVohemar	24-Antankarana.Vohemar.txt
25	BetsileoAmbositra	25-Betsileo.Ambositra.txt
26	BetsileoAmbalavao	26-Betsileo.Ambalavao.txt
27	AntanalanaItampolo	27-Antanalana.Itampolo.txt
28	VezoMorombe	28-Vezo.Morombe.txt
29	AntanosyBezaha	29-Antanosy.Bezaha.txt
30	TanalaIfanadiana	30-Tanala.Ifanadiana.txt
31	BaraRanohira	31-Bara.Ranohira.txt
32	AntanalanaManorofify	32-Antanalana.Manorofify.txt
33	AntandroyToliara	33-Antandroy.Toliara.txt
34	AntanalanaAnakao	34-Antanalana.Anakao.txt
35	BetsimisarakaMarolambo	35-Betsimisaraka.Marolambo.txt
36	BetsimisarakaAntsiranana	36-Betsimisaraka.Antsiranana.txt
37	BetsimisarakaBrickaville	37-Betsimisaraka.Brickaville.txt
38	BetsimisarakaToamasina	38-Betsimisaraka.Toamasina.txt
39	BetsimisarakaMananara	39-Betsimisaraka.Mananara.txt
40	TsimihetyMampikony	40-Tsimihety.Mampikony.txt
41	TsimihetyAndapa	41-Tsimihety.Andapa.txt
42	Nosy BorahaAmbodifotatra	42-Nosy Boraha.Ambodifotatra.txt
43	BaraBeroroha	43-Bara.Beroroha.txt
44	SakalavaMiandrivazo	44-Sakalava.Miandrivazo.txt
45	VezoMorondava	45-Vezo.Morondava.txt
46	BaraIhosy	46-Bara.Ihosy.txt
47	TsimihetyAntsohihy	47-Tsimihety.Antsohihy.txt
48	MerinaMaevatanana	48-Merina.Maevatanana.txt
49	SakalavaBesalampy	49-Sakalava.Besalampy.txt
50	BetsimisarakaTanambao Manampotsy	50-Betsimisaraka.Tanambao Manampotsy.txt
51	SihanakaMorarano Chrome	51-Sihanaka.Morarano Chrome.txt
52	BetsileoAmbohimahasoa	52-Betsileo.Ambohimahasoa.txt
53	BetsimisarakaMaroantsetra	53-Betsimisaraka.Maroantsetra.txt
54	MerinaAnalavory	54-Merina.Analavory.txt
55	BetsimisarakaSahavato	55-Betsimisaraka.Sahavato.txt
56	MahafalyEjeda	56-Mahafaly.Ejeda.txt
57	AntanosyBelamoty	57-Antanosy.Belamoty.txt
58	SihanakaAndilamena	58-Sihanaka.Andilamena.txt
59	AntandroyTsihombe	59-Antandroy.Tsihombe.txt
60	SakalavaBelon'i Tsiribihina	60-Sakalava.Belon'i Tsiribihina.txt
