Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^mp	ⁿp
mp	ⁿp
^mb	ⁿb
mb	ⁿb
^nt	ⁿt
nt	ⁿt
^nd	ⁿd
nd	ⁿd
^nk	ⁿk
nk	ⁿk
^ng	ⁿg
gn	ŋ
^gn	ŋ
ng	ⁿg
oa	oa/o
^oa	oa/o
ai	ai̯
ao	au̯
ia	ia
io	iu
ie	ie
oe	ue
oi	ui
^ai	ai̯
^ao	au̯
^ia	j a
^io	iu
^ie	ie
^oe	ue
^oi	ui
nts	ⁿts
^nts	ⁿts
nj	ⁿdz
^nj	ⁿdz
tr	ʈʂ
dr	ɖʐ
^tr	ʈʂ
^dr	ɖʐ
ntr	ⁿʈʂ
ndr	ⁿɖʐ
^ntr	ⁿʈʂ
^ndr	ⁿɖʐ
$	NULL				
^	NULL				
^a	a	aia, amboa	SihanakaAmbatondrazaka, AntankaranaAmbilobe, SakalavaAmbanja, AntandroyAmbovombe, MahafalyAmpanihy	100	U+005e U+0061
^a$	a	a	SakalavaMahajanga	1	U+005e U+0061 U+0024
^b	b	boribory, biby	SakalavaMaintirano, SakalavaMahajanga, MikeaAmpoakafo, BetsimisarakaMahanoro, AntambohoakaMananjary, ZafisoroFarafangana, SihanakaAmbatondrazaka, BetsimisarakaFenoarivo-Est, BetsileoFianarantsoa, BaraBetroka, MahafalyAmpanihy, AntaimoroManakara, TsimihetyMandritsara, SakalavaAmbanja, BetsimisarakaAntalaha, AntandroyAmbovombe, AntankaranaAmbilobe, MerinaAntananarivo, MasikoroMiary	100	U+005e U+0062
^d	d	dimy, dombo	SihanakaMoraranoChrome, NosyBorahaAmbodifotatra, SihanakaAmbatondrazaka, MerinaMaevatanana, BetsimisarakaAntalaha, AntaisakaVangaindrano, BetsimisarakaFenoarivo-Est, AntambohoakaMananjary, AntandroyAmbovombe, BaraBetroka, BaraRanohira, TanalaIfanadiana, AntanosyTolagnaro, SakalavaMorondava, BetsimisarakaMaroantsetra, BetsimisarakaBrickaville, SakalavaBesalampy, TsimihetyAndapa, TsimihetyAntsohihy, BetsimisarakaMahanoro, BetsileoAmbositra, BetsileoFianarantsoa, BetsileoAmbalavao, TsimihetyMampikony, AntanosyBezaha, BaraBeroroha, BetsimisarakaToamasina, SakalavaMahajanga, BetsimisarakaMananara, MahafalyAmpanihy, BaraIhosy, AntaimoroManakara, TsimihetyMandritsara, SakalavaMiandrivazo, MerinaAntananarivo, BetsimisarakaTanambaoManampotsy, AntankaranaVohemar, BetsimisarakaMarolambo, AntanalanaAnakao, MerinaAnalavory, BetsileoAmbohimahasoa, VezoMorondava, BetsimisarakaAntsiranana, AntanalanaItampolo, SakalavaMaintirano, AntankaranaAmbilobe, SakalavaAmbanja, ZafisoroFarafangana	100	U+005e U+0064
