
  #  English                      Italiano           Français                   Malagasy           Ny fiteninao
_______________________________________________________________________________________________________________

  1  I                            io                 je                         izaho              
  2  you (singular)               tu                 tu                         ianao              
  3  he                           egli               il                         izy                
  4  we                           noi                nous                       isika              
  5  you (plural)                 voi                vous                       ianareo            
  6  they                         essi               ils                        izy ireo           
  7  this                         questo             ceci                       ity                
  8  that                         quello             cela                       izany              
  9  here                         qui                ici                        eto                
 10  there                        li                 là                         ao                 
 11  who                          chi                qui                        iza                
 12  what                         che                que (qu'est-ce que; quoi)  inona              
 13  where                        dove               où                         aiza               
 14  when                         quando             quand                      oviana             
 15  how                          come               comment                    ahoana             
 16  not                          non                ne pas                     tsy                
 17  all                          tutto              tout                       rehetra            
 18  many                         molti              beaucoup                   betsaka            
 19  some                         alcuni             quelques                   vitsivitsy         
 20  few                          poco               peu                        kely               
 21  other                        altro              autre                      hafa               
 22  one                          uno                un                         iray               
 23  two                          due                deux                       roa                
 24  three                        tre                trois                      telo               
 25  four                         quattro            quatre                     efatra             
 26  five                         cinque             cinq                       dimy               
 27  big                          grande             grand                      lehibe             
 28  long                         lungo              long                       lava               
 29  wide                         largo              large                      malalaka           
 30  thick                        spesso             épais                      matevina           
 31  heavy                        pesante            lourd                      mavesatra          
 32  small                        piccolo            petit                      kely               
 33  short                        corto              court                      fohy               
 34  narrow                       stretto            étroit                     tery               
 35  thin                         sottile            fin                        manify             
 36  woman                        donna              femme                      vehivavy           
 37  man (adult male)             uomo               homme (mâle adulte)        lehilahy           
 38  man (human being)            uomo               homme (être humain)        olona              
 39  child                        bambino            enfant                     zaza               
 40  wife                         moglie             femme (épouse)             vady               
 41  husband                      marito             mari                       vady               
 42  mother                       madre              mère                       reny               
 43  father                       padre              père                       ray                
 44  animal                       animale            animal                     biby               
 45  fish                         pesce              poisson                    trondro            
 46  bird                         uccello            oiseau                     vorona             
 47  dog                          cane               chien                      alika              
 48  louse                        pidocchio          pou                        hao                
 49  snake                        serpente           serpent                    bibilava           
 50  worm                         verme              ver                        kankana            
 51  tree                         albero             arbre                      hazo               
 52  forest                       foresta            forêt                      ala                
 53  stick                        bastone            bâton                      kibay              
 54  fruit                        frutta             fruit                      voankazo           
 55  seed (semen)                 seme               graine                     voa                
 56  leaf                         foglia             feuille                    ravina             
 57  root                         radice             racine                     faka               
 58  bark (of a tree)             corteccia          écorce                     hodi-kazo          
 59  flower                       fiore              fleur                      voninkazo          
 60  grass                        erba               herbe                      ahitra             
 61  rope                         corda              corde                      tady               
 62  skin                         pelle              peau                       hoditra            
 63  meat                         carne              viande                     hena               
 64  blood                        sangue             sang                       ra                 
 65  bone                         osso               os                         taolana            
 66  fat (noun)                   grasso             graisse (matière)          taviny             
 67  egg                          uovo               œuf                        atody              
 68  horn                         corno              corne                      tandroka           
 69  tail                         coda               queue                      rambo              
 70  feather                      penna              plume                      volom-borona       
 71  hair (on the head)           capelli            cheveux                    volo               
 72  head                         testa              tête                       loha               
 73  ear                          orecchio           oreille                    sofina             
 74  eye                          occhio             œil                        maso               
 75  nose                         naso               nez                        orona              
 76  mouth                        bocca              bouche                     vava               
 77  tooth                        dente              dent                       nify               
 78  tongue                       lingua             langue                     lela               
 79  fingernail                   unghia             ongle                      hoho               
 80  foot                         piede              pied                       tongotra           
 81  leg                          gamba              jambe                      ranjo              
 82  knee                         ginocchio          genou                      lohalika           
 83  hand                         mano               main                       tanana             
 84  wing                         ala                aile                       elatra             
 85  belly                        pancia             ventre                     kibo               
 86  guts                         interiora          entrailles                 tsinay             
 87  neck                         collo              cou                        vozona             
 88  back (of a person)           schiena            dos                        lamosina           
 89  breast                       petto              poitrine                   tratra             
 90  heart                        cuore              cœur                       fo                 
 91  liver                        fegato             foie                       aty                
 92  to drink                     bere               boire                      misotro            
 93  to eat                       mangiare           manger                     mihinana           
 94  to bite                      mordere            mordre                     manaikitra         
