,Sakalava (Maintirano),Betsimisaraka (Mahanoro),Antankarana (Ambilobe),Mikea (Analamena),Antankarana (Vohemar),Masikoro (Miary),Antankarana (Antalaha),Sakalava (Ambanja),Sakalava (Majunga),Merina (Antananarivo),Sakalava (Morondava),Betsimisaraka (Fenoarivo-Est),Antanosy (Tolagnaro),Antandroy (Ambovombe),Betsileo (Fianarantsoa),Vezo (Toliara),Sihanaka (Ambatondranzaka),Tsimihety (Mandritsara),Mahafaly (Ampanihy),Antambohoaka (Mananjary),Antaisaka (Vangaindrano),Antaimoro (Manakara),Zafisoro (Farafangana),Bara (Betroka)
1,iaby,rehetra,jiaby,iabe,jiaby,iaby,jiaby,ziaby,jiaby,rehetra,iaby,jiaby,iziaby,iaby,aby,iaby,izy daholo,jiaby,iaby,izy marobe,aby,iaby,daholo,aby
2,sy,ombanin ny,ndraiky,miakake,ndraiky,miaraky,ndraiky,ndraiky,ndreky,sy,vo,sy,da,naho,sy,miaraky,sy,sindraiky,naho,de,sy,da,sy,da
3,biby,biby,kaka,tsiboko,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby,biby
4,lavenoky,lavenona,jofo,tany mavo,jofo,lavenoky,jofo,jofo,lavenona,lavenona,lavenoky,jofo,lembokafo,lavenoke,lavenona,lavenoke,lavenona,jofo,lavenoke,lavenona,lakevo,lakevogna,lakevo,lakevo
5,agny,agny,agny,agne,agny,agny,agny,agny,a,any,any,agny,agny,agny,any,ane,any,akagny,angne,agny,agny,agny,agny,agny
6,lambosy,lamosina,tahezagna,taheza,tahaizagna,lambosy,tahezagna,tahaizagna,lambosy,lamosina,lamosy,tahezagna,lambosy,lamosy,lamosina,lambosy,lakambo,tahaizagna,lambosy,lamosigna,lamosy,lamosigna,lamosy,lambosy
7,raty,rasy,raty,raty,ratsy,raty,ratsy,ratsy,ratsy,ratsy,raty,ratsy,rasy,raty,ratsy,raty,ratsy,ratsy,raty,ratsy,ratsy,ratsy,ratsy,ratsy
8,holi kazo,oditra kakazo,oditry kakazo,fanin kazo,hoditry kakazo,holinkazo,hoditry kakazo,hoditra kakazo,hodin kakazo,hodikazo,hodikazo,hodikakazo,holikazo,holihatay,hodikazo,holinkazo,hodi-kitay,hodinkazo,holin-katae,hodina kakazo,oditrazo,hodikazo,hoditrazo,hodikazo
9,satria,satria,fotony,,fotony,satria,satria,fotony,azony karakory,satria,safe,satria,satria,satria,satria,satsia,satria,satria,satria,satria,satria,satria,satria,satria
10,kibo,kibo,troko,tsoke,kibo,troky,votraka,kibo,kibo,kibo,sarotro,kibo,troky,fisafoa,troka,sarotso,kibo,boko,troke,kibo,troky,kibo,troky,troky
11,bevata,maventy,maventy,be,maventy,bevata,maventy,maventy,bavata,lehibe,bevata,maventy,foloay,bey,lehibe,bevata,lehibe,gaida,bey,agnona be,zakabe,zakabe,zakabe,foloay
12,voro,vorogna,vorogno,voro,vorogno,voro,vorogno,vorogno,vorona,vorona,voro,vorogno,voro,vorogne,vorona,voro,vorona,vorogno,voro,vorogna,voro,vorogna,voro,voro
13,manaikitsy,magnekitra,magnekitry,magnehitse,magnekitry,magnehitsy,magnekitry,magnekitry,manaikitry,manaikitra,magnehetry,magnekitry,manifasy,mitifatre,manehitsa,manehitse,kakeriny,manekitry,mitifatse,magnekitra,magnifatry,magnekitry,magnekitry,magnekitry
14,mainty,mintina,joby,jobe,joby,mainty,mahintigny,joby,manity,mainty,mainty,maintigny,menty,mainte,mainty,mainte,mainty,mahintgny,mainte,mintina,mity,mainty,mity,mety
15,ra,ra,lio,fere,lio,lio,ly,lio,ra,ra,ra,ra,lio,lio,ra,lio,lio,lio,lio,ra,ra,ra,ragny,lio
16,mitsoky,misotra,mitsotro,mitsoke,mitsoko,mitsioky,misotro,mitsoko,mitsoka,mitsoka,mitsioky,mitsotro,misioky,mofoke,mitsoka,mitsioke,misioka,mitsotro,mitioke,mitsotra,mandrivotry,mitsioky,misotry,mitsioky
17,taola,tolagna,taolagna,taola,taholagna,taola,taholagna,taholagna,taolana,taolana,tola,tolana,tola,taolagne,taolana,taola,tolagna,taholagna,taola,tolagna,tola,tolagna,tola,tola
18,miay,miegna,miegny,miai,miegny,miay,miaigny,miegny,mifoka,miaina,maiky,miaigny,miaina,miaigne,miaina,miay,misefo,miaigny,miay,miaigna,miaigny,miaigna,miaigny,miay
19,magnoro,mandoro,magnoro,manoro,magnoro,magnoro,magnoro,magnoro,may,mandoro,mandoro,magnoro,magnoro,magnoro,manoro,mitsofotse,mandoro,magnoro,magnoro,magnoro,magnoro,magnoro,magnory,magnoro
20,aja,zamadinika,tsaiky,aja,tsaiiky,aja,zaza,tsaiky,tsaiky,zaza,zaza,zaza,zaza,ajaja,zaza,aja,ankizy,zaza,aja,zaza,marao,zaza,marao,anaka
21,raho,rahona,rondro,hiboke,zavogno,raho,zavogno,zavogno,ramona,rahona,rahona,rahogno,raho,rahogne,rahona,raho,abakabaka,rondro,rahongne,rahogna,mika,rahogna,mikagny,raho
22,magnitsy,mangatsiaka,manintsy,manintsy,manintsy,manintsy,manintsy,manintsy,manintsy,mangatsiaka,manitsy,mangatsiaka,manara,manitsy,manara,manintsy,mangatsiaka,manintsy,manintsy,mangatsiaka,manara,mangatseky,mangaseky,manitsy
23,bakagny,tonga,navy,havy,tonga,avy,avy,avy,navy,avy,avy,avy,avy,avy,avy,avy,tonga,havy,avy,avy,avy,avy,avy,tonga
